Timestamp,src_ip,dst_ip,src_port,dst_port,protocol,flow_packets_s,flow_bytes_s,Label
2025-05-02 22:05:57.822566,192.168.0.65,10.0.0.141,41702,299,17,2,2084,BENIGN
2025-05-02 22:05:57.873538,192.168.0.178,10.0.0.97,27550,246,17,3,3759,BENIGN
2025-05-02 22:05:57.924207,192.168.0.17,10.0.0.168,2703,1021,1,7,3766,BENIGN
2025-05-02 22:05:57.974790,192.168.0.147,10.0.0.127,45400,397,17,1,844,BENIGN
2025-05-02 22:05:58.025291,192.168.0.254,10.0.0.182,15224,680,6,10,9370,BENIGN
2025-05-02 22:05:58.075762,192.168.0.193,10.0.0.249,46822,829,6,3,2103,BENIGN
2025-05-02 22:05:58.126105,192.168.0.127,10.0.0.116,28645,58,6,5,4280,BENIGN
2025-05-02 22:05:58.176657,192.168.0.230,10.0.0.138,22825,404,6,3,3948,BENIGN
2025-05-02 22:05:58.227036,192.168.0.36,10.0.0.4,53388,65,6,6,3048,BENIGN
2025-05-02 22:05:58.277352,192.168.0.176,10.0.0.23,52891,420,1,6,5520,BENIGN
2025-05-02 22:05:58.456656,192.168.0.104,10.0.0.154,16711,959,6,5,1255,BENIGN
2025-05-02 22:05:58.509677,192.168.0.103,10.0.0.2,24208,339,6,8,5104,BENIGN
2025-05-02 22:05:58.576088,192.168.0.175,10.0.0.28,9607,759,6,8,7752,BENIGN
2025-05-02 22:05:58.626568,192.168.0.141,10.0.0.246,54813,101,17,7,7182,BENIGN
2025-05-02 22:05:58.677660,192.168.0.118,10.0.0.150,44978,798,17,2,566,BENIGN
2025-05-02 22:05:58.728082,192.168.0.57,10.0.0.153,48218,937,6,4,2420,BENIGN
2025-05-02 22:05:58.781937,192.168.0.55,10.0.0.244,50786,448,1,9,5463,BENIGN
2025-05-02 22:05:58.833049,192.168.0.19,10.0.0.229,7389,617,17,6,7710,BENIGN
2025-05-02 22:05:58.883282,192.168.0.143,10.0.0.153,50480,627,6,10,10910,DDoS
2025-05-02 22:05:58.933838,192.168.0.81,10.0.0.251,24323,684,17,3,429,BENIGN
2025-05-02 22:05:58.995342,192.168.0.15,10.0.0.174,62619,170,17,3,2574,BENIGN
2025-05-02 22:05:59.045654,192.168.0.72,10.0.0.117,54654,759,6,9,8451,BENIGN
2025-05-02 22:05:59.095919,192.168.0.219,10.0.0.63,23349,858,6,9,12015,BENIGN
2025-05-02 22:05:59.146233,192.168.0.244,10.0.0.54,4795,621,17,10,5840,BENIGN
2025-05-02 22:05:59.196830,192.168.0.72,10.0.0.153,50319,83,6,2,2768,BENIGN
2025-05-02 22:05:59.247355,192.168.0.31,10.0.0.115,43461,263,1,6,3384,BENIGN
2025-05-02 22:05:59.297866,192.168.0.66,10.0.0.89,64509,65,6,8,10992,BENIGN
2025-05-02 22:05:59.348425,192.168.0.153,10.0.0.209,8204,896,17,9,2808,BENIGN
2025-05-02 22:05:59.398800,192.168.0.126,10.0.0.82,29721,689,6,3,1800,BENIGN
2025-05-02 22:05:59.449021,192.168.0.211,10.0.0.83,56507,572,6,7,5754,BENIGN
2025-05-02 22:05:59.499429,192.168.0.155,10.0.0.47,63382,767,17,9,13239,DDoS
2025-05-02 22:05:59.549814,192.168.0.34,10.0.0.128,15109,456,6,3,1794,DDoS
2025-05-02 22:05:59.601829,192.168.0.184,10.0.0.241,33237,708,17,9,2016,BENIGN
2025-05-02 22:05:59.657800,192.168.0.107,10.0.0.203,28594,144,6,7,8302,BENIGN
2025-05-02 22:05:59.709240,192.168.0.215,10.0.0.143,7506,879,6,4,2764,BENIGN
2025-05-02 22:05:59.773626,192.168.0.39,10.0.0.248,44028,398,1,6,1278,BENIGN
2025-05-02 22:05:59.824821,192.168.0.117,10.0.0.99,54535,51,17,6,2826,BENIGN
2025-05-02 22:05:59.879387,192.168.0.98,10.0.0.135,41701,522,6,6,5322,BENIGN
2025-05-02 22:05:59.930557,192.168.0.65,10.0.0.70,9617,436,17,7,9212,BENIGN
2025-05-02 22:05:59.980954,192.168.0.185,10.0.0.127,24896,512,17,2,2954,BENIGN
2025-05-02 22:06:00.034610,192.168.0.79,10.0.0.173,19812,52,6,6,6252,DDoS
2025-05-02 22:06:00.085200,192.168.0.51,10.0.0.190,22112,983,1,6,5034,BENIGN
2025-05-02 22:06:00.135813,192.168.0.124,10.0.0.69,44236,521,1,3,3186,BENIGN
2025-05-02 22:06:00.186067,192.168.0.16,10.0.0.84,9295,192,6,4,2912,BENIGN
2025-05-02 22:06:00.236441,192.168.0.190,10.0.0.202,61363,273,17,10,10100,BENIGN
2025-05-02 22:06:00.293019,192.168.0.70,10.0.0.186,48674,552,6,2,2112,BENIGN
2025-05-02 22:06:00.343870,192.168.0.30,10.0.0.134,7516,942,1,3,372,BENIGN
2025-05-02 22:06:00.397409,192.168.0.179,10.0.0.130,17612,826,6,1,134,BENIGN
2025-05-02 22:06:00.449290,192.168.0.31,10.0.0.214,13960,391,6,9,9009,BENIGN
2025-05-02 22:06:00.499541,192.168.0.146,10.0.0.18,8376,204,6,7,4060,BENIGN
2025-05-02 22:06:00.549992,192.168.0.251,10.0.0.92,59781,436,6,5,1695,BENIGN
2025-05-02 22:06:00.604741,192.168.0.62,10.0.0.108,9963,337,6,7,4074,BENIGN
2025-05-02 22:06:00.656453,192.168.0.202,10.0.0.96,58140,971,1,9,6489,BENIGN
2025-05-02 22:06:00.712687,192.168.0.80,10.0.0.81,34270,257,17,6,6222,BENIGN
2025-05-02 22:06:00.763151,192.168.0.251,10.0.0.32,35845,924,17,2,2208,BENIGN
2025-05-02 22:06:00.813406,192.168.0.41,10.0.0.189,9248,561,6,5,3735,BENIGN
2025-05-02 22:06:00.863587,192.168.0.65,10.0.0.81,50609,991,1,3,369,BENIGN
2025-05-02 22:06:00.914522,192.168.0.171,10.0.0.38,41236,431,17,6,4968,BENIGN
2025-05-02 22:06:00.964741,192.168.0.230,10.0.0.211,45073,20,1,5,4510,BENIGN
2025-05-02 22:06:01.015058,192.168.0.196,10.0.0.198,26782,661,1,6,3162,BENIGN
2025-05-02 22:06:01.069308,192.168.0.133,10.0.0.59,52513,935,17,4,4764,BENIGN
2025-05-02 22:06:01.119778,192.168.0.33,10.0.0.68,35389,966,17,1,1107,PORT_SCAN
2025-05-02 22:06:01.170610,192.168.0.114,10.0.0.221,53213,706,6,10,7730,BENIGN
2025-05-02 22:06:01.220928,192.168.0.49,10.0.0.28,63537,542,1,8,6816,BENIGN
2025-05-02 22:06:01.271185,192.168.0.85,10.0.0.173,27510,61,1,10,1080,BENIGN
2025-05-02 22:06:01.321448,192.168.0.70,10.0.0.199,54276,640,6,6,870,DDoS
2025-05-02 22:06:01.372073,192.168.0.136,10.0.0.200,15058,297,17,6,7218,BENIGN
2025-05-02 22:06:01.422513,192.168.0.228,10.0.0.233,43018,461,1,3,3465,BENIGN
2025-05-02 22:06:01.473153,192.168.0.113,10.0.0.98,62751,342,6,6,828,BENIGN
2025-05-02 22:06:01.523555,192.168.0.175,10.0.0.30,6695,718,6,9,3384,BENIGN
2025-05-02 22:06:01.573885,192.168.0.201,10.0.0.217,41467,727,17,8,8936,BENIGN
2025-05-02 22:06:01.665278,192.168.0.197,10.0.0.78,49281,523,1,6,3972,BENIGN
2025-05-02 22:06:01.753268,192.168.0.97,10.0.0.52,18504,1003,1,7,623,BENIGN
2025-05-02 22:06:01.803790,192.168.0.214,10.0.0.111,36119,453,1,10,5500,BENIGN
2025-05-02 22:06:01.854636,192.168.0.57,10.0.0.124,64442,973,17,3,3363,BENIGN
2025-05-02 22:06:01.905209,192.168.0.55,10.0.0.33,11047,134,6,5,3245,BENIGN
2025-05-02 22:06:01.956707,192.168.0.55,10.0.0.180,3657,19,6,6,2838,BENIGN
2025-05-02 22:06:02.007914,192.168.0.224,10.0.0.223,46151,47,1,3,3519,BENIGN
2025-05-02 22:06:02.058571,192.168.0.39,10.0.0.220,55174,165,17,4,5296,BENIGN
2025-05-02 22:06:02.108969,192.168.0.251,10.0.0.26,41545,733,1,6,7140,BENIGN
2025-05-02 22:06:02.164077,192.168.0.214,10.0.0.186,58113,682,6,3,2994,BENIGN
2025-05-02 22:06:02.214612,192.168.0.96,10.0.0.238,45385,353,6,2,644,BENIGN
2025-05-02 22:06:02.265172,192.168.0.145,10.0.0.229,49454,755,1,7,6356,BENIGN
2025-05-02 22:06:02.345024,192.168.0.118,10.0.0.177,51077,710,17,9,12312,BENIGN
2025-05-02 22:06:02.398835,192.168.0.154,10.0.0.81,33160,944,17,8,1880,BENIGN
2025-05-02 22:06:02.466215,192.168.0.122,10.0.0.208,28624,942,6,7,3402,BENIGN
2025-05-02 22:06:02.519012,192.168.0.29,10.0.0.151,28578,798,6,5,5365,BENIGN
2025-05-02 22:06:02.580207,192.168.0.16,10.0.0.236,1145,169,6,7,532,BENIGN
2025-05-02 22:06:02.648101,192.168.0.244,10.0.0.207,37099,897,6,9,12636,PORT_SCAN
2025-05-02 22:06:02.698580,192.168.0.177,10.0.0.165,23522,554,17,3,1749,BENIGN
2025-05-02 22:06:02.748922,192.168.0.3,10.0.0.112,12600,970,17,1,1032,BENIGN
2025-05-02 22:06:02.799284,192.168.0.155,10.0.0.183,9343,826,6,6,2748,BENIGN
2025-05-02 22:06:02.849648,192.168.0.71,10.0.0.242,12127,6,1,5,7305,BENIGN
2025-05-02 22:06:02.900187,192.168.0.128,10.0.0.226,52334,453,1,8,2632,BENIGN
2025-05-02 22:06:02.950679,192.168.0.68,10.0.0.253,15939,465,6,3,1014,BENIGN
2025-05-02 22:06:03.001504,192.168.0.182,10.0.0.24,17881,792,17,9,3069,BENIGN
2025-05-02 22:06:03.051919,192.168.0.181,10.0.0.252,33026,902,6,10,8790,BENIGN
2025-05-02 22:06:03.102188,192.168.0.253,10.0.0.70,48694,466,17,2,340,BENIGN
2025-05-02 22:06:03.152781,192.168.0.126,10.0.0.153,17564,835,1,8,10696,BENIGN
2025-05-02 22:06:03.203163,192.168.0.76,10.0.0.126,41173,396,6,3,1941,BENIGN
2025-05-02 22:06:03.257803,192.168.0.178,10.0.0.74,12587,762,6,7,7210,BENIGN
2025-05-02 22:06:03.308182,192.168.0.215,10.0.0.27,32454,710,6,2,2522,BENIGN
2025-05-02 22:06:03.358505,192.168.0.214,10.0.0.175,54874,452,17,5,2005,BENIGN
2025-05-02 22:06:03.409231,192.168.0.134,10.0.0.111,4730,998,1,5,3045,BENIGN
2025-05-02 22:06:03.460085,192.168.0.17,10.0.0.207,3873,222,1,1,1382,BENIGN
2025-05-02 22:06:03.510780,192.168.0.117,10.0.0.160,47520,626,6,10,6160,BENIGN
2025-05-02 22:06:03.562080,192.168.0.240,10.0.0.120,49231,498,1,2,2714,PORT_SCAN
2025-05-02 22:06:03.612316,192.168.0.194,10.0.0.231,41692,455,17,6,1506,BENIGN
2025-05-02 22:06:03.664108,192.168.0.147,10.0.0.78,62317,620,17,1,567,BENIGN
2025-05-02 22:06:03.714666,192.168.0.179,10.0.0.118,31336,860,6,4,2816,BENIGN
2025-05-02 22:06:03.768651,192.168.0.5,10.0.0.77,58463,155,17,1,73,BENIGN
2025-05-02 22:06:03.819838,192.168.0.173,10.0.0.102,5365,120,6,1,647,BENIGN
2025-05-02 22:06:03.870142,192.168.0.177,10.0.0.112,2429,424,1,7,2303,BENIGN
2025-05-02 22:06:03.927225,192.168.0.204,10.0.0.243,59869,997,17,5,1630,BENIGN
2025-05-02 22:06:03.978631,192.168.0.117,10.0.0.230,45556,91,6,7,4683,BENIGN
2025-05-02 22:06:04.033303,192.168.0.42,10.0.0.135,10309,486,1,7,2023,PORT_SCAN
2025-05-02 22:06:04.084280,192.168.0.237,10.0.0.6,48882,94,1,7,1393,BENIGN
2025-05-02 22:06:04.134691,192.168.0.196,10.0.0.240,56309,379,6,10,8810,BENIGN
2025-05-02 22:06:04.185423,192.168.0.102,10.0.0.180,17733,631,1,3,1596,BENIGN
2025-05-02 22:06:04.236047,192.168.0.1,10.0.0.96,6455,581,6,9,4194,BENIGN
2025-05-02 22:06:04.290133,192.168.0.190,10.0.0.142,10023,386,6,7,5936,PORT_SCAN
2025-05-02 22:06:04.340694,192.168.0.155,10.0.0.83,11473,10,6,10,4040,BENIGN
2025-05-02 22:06:04.391412,192.168.0.60,10.0.0.107,47235,697,17,2,716,BENIGN
2025-05-02 22:06:04.442220,192.168.0.157,10.0.0.122,16292,969,17,7,3171,DDoS
2025-05-02 22:06:04.493298,192.168.0.253,10.0.0.234,47850,966,17,7,9912,BENIGN
2025-05-02 22:06:04.543780,192.168.0.76,10.0.0.235,4102,40,17,10,7820,BENIGN
2025-05-02 22:06:04.598356,192.168.0.168,10.0.0.16,58627,218,6,4,5420,BENIGN
2025-05-02 22:06:04.658717,192.168.0.119,10.0.0.124,3600,797,17,8,9016,BENIGN
2025-05-02 22:06:04.741940,192.168.0.189,10.0.0.238,32414,157,1,1,896,BENIGN
2025-05-02 22:06:04.792957,192.168.0.136,10.0.0.53,3162,486,1,7,1169,BENIGN
2025-05-02 22:06:04.843392,192.168.0.236,10.0.0.226,62375,567,1,10,4040,BENIGN
2025-05-02 22:06:04.893999,192.168.0.134,10.0.0.222,13841,17,17,7,3143,BENIGN
2025-05-02 22:06:04.948781,192.168.0.53,10.0.0.181,58355,959,6,3,4146,BENIGN
2025-05-02 22:06:04.999664,192.168.0.144,10.0.0.94,38490,615,6,2,2636,BENIGN
2025-05-02 22:06:05.050774,192.168.0.78,10.0.0.65,11127,940,17,9,7083,BENIGN
2025-05-02 22:06:05.101648,192.168.0.87,10.0.0.182,31347,260,1,6,3150,BENIGN
2025-05-02 22:06:05.152658,192.168.0.31,10.0.0.168,19563,462,1,6,2820,BENIGN
2025-05-02 22:06:05.203165,192.168.0.108,10.0.0.82,54075,817,6,2,2932,BENIGN
2025-05-02 22:06:05.253766,192.168.0.213,10.0.0.20,23413,315,1,4,2676,DDoS
2025-05-02 22:06:05.307376,192.168.0.143,10.0.0.234,61219,254,17,9,5463,BENIGN
2025-05-02 22:06:05.414258,192.168.0.225,10.0.0.204,37004,898,1,1,572,BENIGN
2025-05-02 22:06:05.464971,192.168.0.130,10.0.0.66,59210,868,1,10,14530,BENIGN
2025-05-02 22:06:05.515703,192.168.0.14,10.0.0.173,26152,802,1,1,659,BENIGN
2025-05-02 22:06:05.568311,192.168.0.132,10.0.0.24,1501,852,6,9,11916,BENIGN
2025-05-02 22:06:05.631515,192.168.0.219,10.0.0.171,33768,665,6,4,3848,BENIGN
2025-05-02 22:06:05.682360,192.168.0.68,10.0.0.22,7616,800,1,3,1494,DOS
2025-05-02 22:06:05.735577,192.168.0.20,10.0.0.120,15455,977,1,10,9960,BENIGN
2025-05-02 22:06:05.786987,192.168.0.222,10.0.0.15,44786,712,6,2,2428,BENIGN
2025-05-02 22:06:05.837301,192.168.0.159,10.0.0.243,2253,739,1,6,6306,PORT_SCAN
2025-05-02 22:06:05.887770,192.168.0.131,10.0.0.184,11432,747,1,7,6391,BENIGN
2025-05-02 22:06:05.938294,192.168.0.74,10.0.0.154,40375,506,17,10,4670,BENIGN
2025-05-02 22:06:05.988900,192.168.0.28,10.0.0.29,10661,220,17,1,810,BENIGN
2025-05-02 22:06:06.039626,192.168.0.59,10.0.0.120,33480,488,1,5,1115,BENIGN
2025-05-02 22:06:06.089914,192.168.0.209,10.0.0.137,19869,705,17,6,7848,BENIGN
2025-05-02 22:06:06.140302,192.168.0.104,10.0.0.68,25864,82,17,4,4160,BENIGN
2025-05-02 22:06:06.190917,192.168.0.101,10.0.0.235,9419,218,17,8,11792,BENIGN
2025-05-02 22:06:06.241297,192.168.0.2,10.0.0.156,39173,629,1,6,4764,BENIGN
2025-05-02 22:06:06.292018,192.168.0.237,10.0.0.130,23799,686,1,7,6167,BENIGN
2025-05-02 22:06:06.342695,192.168.0.74,10.0.0.207,10892,963,6,3,546,BENIGN
2025-05-02 22:06:06.393203,192.168.0.20,10.0.0.93,51902,430,6,1,1019,DOS
2025-05-02 22:06:06.449948,192.168.0.246,10.0.0.25,2266,386,6,8,10320,BENIGN
2025-05-02 22:06:06.500301,192.168.0.102,10.0.0.20,39700,39,6,6,2658,BENIGN
2025-05-02 22:06:06.550652,192.168.0.74,10.0.0.31,34287,845,17,1,120,BENIGN
2025-05-02 22:06:06.605371,192.168.0.243,10.0.0.184,21444,289,6,6,8526,BENIGN
2025-05-02 22:06:06.660527,192.168.0.154,10.0.0.161,37802,138,17,5,4240,BENIGN
2025-05-02 22:06:06.728537,192.168.0.8,10.0.0.239,11002,113,17,2,1760,DDoS
2025-05-02 22:06:06.941277,192.168.0.43,10.0.0.10,51039,192,6,6,7614,BENIGN
2025-05-02 22:06:06.996197,192.168.0.26,10.0.0.252,63775,749,6,2,1810,BENIGN
