Timestamp,src_ip,dst_ip,src_port,dst_port,protocol,flow_packets_s,flow_bytes_s,Label
2025-05-02 18:30:32.369981,192.168.0.171,10.0.0.18,26096,156,17,2,1628,BENIGN
2025-05-02 18:30:32.420786,192.168.0.180,10.0.0.220,25759,364,6,2,140,DDoS
2025-05-02 18:30:32.471438,192.168.0.142,10.0.0.214,21311,401,6,10,7150,BENIGN
2025-05-02 18:30:32.544736,192.168.0.178,10.0.0.50,5344,638,6,8,10080,BENIGN
2025-05-02 18:30:32.595346,192.168.0.100,10.0.0.206,11239,738,1,10,1940,BENIGN
2025-05-02 18:30:32.646250,192.168.0.115,10.0.0.54,61101,965,6,2,998,BENIGN
2025-05-02 18:30:32.696650,192.168.0.241,10.0.0.187,54109,978,1,8,2192,BENIGN
2025-05-02 18:30:32.747217,192.168.0.234,10.0.0.45,21486,267,1,5,2515,BENIGN
2025-05-02 18:30:32.797456,192.168.0.2,10.0.0.95,55798,728,6,8,2144,BENIGN
2025-05-02 18:30:32.847942,192.168.0.184,10.0.0.197,31084,701,17,3,1077,BENIGN
2025-05-02 18:30:32.898961,192.168.0.117,10.0.0.50,40902,354,17,5,895,BENIGN
2025-05-02 18:30:32.949496,192.168.0.180,10.0.0.4,43827,910,17,9,9477,BENIGN
2025-05-02 18:30:32.999963,192.168.0.213,10.0.0.197,53105,165,1,7,4221,BENIGN
2025-05-02 18:30:33.050507,192.168.0.159,10.0.0.94,23377,263,6,6,2304,BENIGN
2025-05-02 18:30:33.100819,192.168.0.55,10.0.0.96,9794,170,6,1,944,BENIGN
2025-05-02 18:30:33.151516,192.168.0.105,10.0.0.45,13881,543,1,3,453,BENIGN
2025-05-02 18:30:33.201848,192.168.0.187,10.0.0.236,61206,1009,17,3,3162,DOS
2025-05-02 18:30:33.252402,192.168.0.65,10.0.0.114,38734,512,1,5,1850,BENIGN
2025-05-02 18:30:33.302719,192.168.0.194,10.0.0.115,38467,943,6,6,6816,BENIGN
2025-05-02 18:30:33.353216,192.168.0.210,10.0.0.240,24167,278,6,10,12780,BENIGN
2025-05-02 18:30:33.418590,192.168.0.213,10.0.0.86,38152,629,1,10,5100,BENIGN
2025-05-02 18:30:33.469010,192.168.0.159,10.0.0.192,39376,716,6,7,8862,BENIGN
