Timestamp,src_ip,dst_ip,src_port,dst_port,protocol,flow_packets_s,flow_bytes_s,Label
2025-05-02 19:18:31.031496,192.168.0.34,10.0.0.183,2147,586,6,2,1228,BENIGN
2025-05-02 19:18:31.082020,192.168.0.226,10.0.0.77,62493,199,6,2,1130,BENIGN
2025-05-02 19:18:31.132203,192.168.0.190,10.0.0.175,47961,755,6,8,632,DDoS
2025-05-02 19:18:31.182610,192.168.0.26,10.0.0.11,52474,168,17,7,9457,BENIGN
2025-05-02 19:18:31.233347,192.168.0.218,10.0.0.236,26636,487,17,4,5596,BENIGN
2025-05-02 19:18:31.284631,192.168.0.71,10.0.0.208,1331,32,1,2,726,BENIGN
2025-05-02 19:18:31.334997,192.168.0.180,10.0.0.149,39548,726,1,10,2260,BENIGN
2025-05-02 19:18:31.385529,192.168.0.48,10.0.0.144,29557,490,17,7,1673,BENIGN
2025-05-02 19:18:31.435708,192.168.0.78,10.0.0.95,5295,754,6,7,1127,BENIGN
2025-05-02 19:18:31.486126,192.168.0.219,10.0.0.2,55327,837,6,2,304,BENIGN
2025-05-02 19:18:31.536766,192.168.0.252,10.0.0.159,15427,670,6,1,345,BENIGN
2025-05-02 19:18:31.587108,192.168.0.46,10.0.0.134,51828,898,17,9,8748,BENIGN
2025-05-02 19:18:31.637409,192.168.0.1,10.0.0.138,13378,933,17,3,3780,BENIGN
2025-05-02 19:18:31.688463,192.168.0.184,10.0.0.192,31514,695,17,6,2940,BENIGN
2025-05-02 19:18:31.739187,192.168.0.136,10.0.0.155,23759,864,17,8,2464,BENIGN
2025-05-02 19:18:31.789718,192.168.0.23,10.0.0.136,51405,92,1,7,6636,BENIGN
2025-05-02 19:18:31.839929,192.168.0.68,10.0.0.58,26646,260,1,7,2576,BENIGN
2025-05-02 19:18:31.899264,192.168.0.97,10.0.0.63,15607,987,17,6,8802,BENIGN
2025-05-02 19:18:31.949828,192.168.0.169,10.0.0.64,1125,587,1,3,1017,BENIGN
2025-05-02 19:18:32.000258,192.168.0.64,10.0.0.218,54802,520,6,10,2720,BENIGN
2025-05-02 19:18:32.060155,192.168.0.214,10.0.0.224,36130,222,17,6,6318,BENIGN
2025-05-02 19:18:32.110779,192.168.0.148,10.0.0.96,51273,979,1,9,2889,BENIGN
2025-05-02 19:18:32.161623,192.168.0.254,10.0.0.140,62168,267,1,4,1164,BENIGN
2025-05-02 19:18:32.212058,192.168.0.254,10.0.0.186,10536,965,1,8,9680,BENIGN
2025-05-02 19:18:32.262736,192.168.0.80,10.0.0.34,64840,425,17,5,3970,BENIGN
2025-05-02 19:18:32.313229,192.168.0.214,10.0.0.118,14704,237,1,6,5436,BENIGN
2025-05-02 19:18:32.364126,192.168.0.133,10.0.0.33,38195,371,17,6,1266,BENIGN
2025-05-02 19:18:32.414595,192.168.0.149,10.0.0.216,56816,188,6,3,4422,PORT_SCAN
2025-05-02 19:18:32.465814,192.168.0.236,10.0.0.35,6102,276,6,6,7542,BENIGN
2025-05-02 19:18:32.516427,192.168.0.199,10.0.0.142,4815,601,17,6,6720,BENIGN
2025-05-02 19:18:32.566952,192.168.0.92,10.0.0.252,57480,875,17,2,2104,BENIGN
2025-05-02 19:18:32.617609,192.168.0.99,10.0.0.59,38329,22,6,7,9800,BENIGN
2025-05-02 19:18:32.667861,192.168.0.48,10.0.0.140,59100,920,1,4,5936,BENIGN
2025-05-02 19:18:32.718486,192.168.0.168,10.0.0.120,57868,297,6,8,7768,BENIGN
2025-05-02 19:18:32.768681,192.168.0.7,10.0.0.240,59297,742,1,6,3324,BENIGN
2025-05-02 19:18:32.819107,192.168.0.88,10.0.0.222,33586,143,1,8,4176,BENIGN
2025-05-02 19:18:32.869556,192.168.0.49,10.0.0.60,47977,421,1,4,5308,BENIGN
2025-05-02 19:18:32.920390,192.168.0.142,10.0.0.74,9538,497,6,7,5124,DOS
2025-05-02 19:18:32.971498,192.168.0.105,10.0.0.54,64383,208,17,6,6900,BENIGN
2025-05-02 19:18:33.022001,192.168.0.24,10.0.0.148,53459,271,17,2,1438,BENIGN
2025-05-02 19:18:33.078952,192.168.0.108,10.0.0.70,45382,409,17,9,5103,BENIGN
2025-05-02 19:18:33.129449,192.168.0.46,10.0.0.139,17225,19,1,4,360,BENIGN
2025-05-02 19:18:33.180028,192.168.0.173,10.0.0.244,60935,537,17,10,8720,BENIGN
2025-05-02 19:18:33.231903,192.168.0.213,10.0.0.24,5531,87,1,1,197,BENIGN
2025-05-02 19:18:33.303265,192.168.0.165,10.0.0.73,43431,520,1,10,7210,BENIGN
2025-05-02 19:18:33.353713,192.168.0.131,10.0.0.230,45935,550,1,10,10430,BENIGN
2025-05-02 19:18:33.418941,192.168.0.54,10.0.0.198,19565,224,1,2,2932,BENIGN
2025-05-02 19:18:33.470531,192.168.0.39,10.0.0.149,42190,333,6,10,5530,BENIGN
2025-05-02 19:18:33.520946,192.168.0.75,10.0.0.185,23417,717,1,9,1881,BENIGN
2025-05-02 19:18:33.571952,192.168.0.191,10.0.0.20,6190,712,17,8,6584,DOS
2025-05-02 19:18:33.623021,192.168.0.133,10.0.0.43,41172,537,1,4,1304,BENIGN
2025-05-02 19:18:33.675050,192.168.0.172,10.0.0.110,34444,175,6,1,947,DOS
2025-05-02 19:18:33.728140,192.168.0.112,10.0.0.15,50955,110,17,10,11760,BENIGN
2025-05-02 19:18:33.778763,192.168.0.228,10.0.0.103,63736,666,1,5,1480,BENIGN
2025-05-02 19:18:33.829341,192.168.0.206,10.0.0.140,14835,69,17,3,741,BENIGN
2025-05-02 19:18:33.880421,192.168.0.183,10.0.0.40,12909,337,6,4,2416,BENIGN
2025-05-02 19:18:33.943267,192.168.0.202,10.0.0.62,43562,881,17,7,6573,BENIGN
2025-05-02 19:18:33.993975,192.168.0.222,10.0.0.23,26390,883,6,5,1800,PORT_SCAN
2025-05-02 19:18:34.049365,192.168.0.55,10.0.0.180,42458,155,6,5,3875,BENIGN
2025-05-02 19:18:34.124765,192.168.0.116,10.0.0.158,37668,651,1,10,1120,PORT_SCAN
2025-05-02 19:18:34.188605,192.168.0.9,10.0.0.80,7286,662,6,10,14400,BENIGN
2025-05-02 19:18:34.239741,192.168.0.199,10.0.0.23,57130,428,1,10,5940,BENIGN
2025-05-02 19:18:34.290933,192.168.0.245,10.0.0.16,28986,897,6,8,10232,BENIGN
2025-05-02 19:18:34.341634,192.168.0.148,10.0.0.98,52294,656,1,10,4910,BENIGN
2025-05-02 19:18:34.392779,192.168.0.245,10.0.0.125,26659,224,6,6,7818,BENIGN
2025-05-02 19:18:34.467123,192.168.0.205,10.0.0.67,24962,293,1,5,2210,BENIGN
2025-05-02 19:18:34.517686,192.168.0.95,10.0.0.102,64128,192,6,1,333,BENIGN
2025-05-02 19:18:34.568256,192.168.0.133,10.0.0.131,51179,738,6,8,7888,BENIGN
2025-05-02 19:18:34.618745,192.168.0.179,10.0.0.237,53071,427,6,3,2058,BENIGN
2025-05-02 19:18:34.669271,192.168.0.198,10.0.0.17,45103,84,6,5,6695,BENIGN
2025-05-02 19:18:34.720247,192.168.0.192,10.0.0.85,13665,408,1,10,9080,BENIGN
2025-05-02 19:18:34.770582,192.168.0.80,10.0.0.23,8614,232,1,2,446,BENIGN
2025-05-02 19:18:34.821137,192.168.0.137,10.0.0.60,55591,826,6,3,357,BENIGN
