Timestamp,src_ip,dst_ip,src_port,dst_port,protocol,flow_packets_s,flow_bytes_s,Label
2025-05-02 19:30:08.780379,192.168.0.221,10.0.0.8,31768,132,17,8,10928,BENIGN
2025-05-02 19:30:08.831608,192.168.0.151,10.0.0.211,9839,497,6,5,3525,BENIGN
2025-05-02 19:30:08.882129,192.168.0.125,10.0.0.57,46912,186,1,8,1448,BENIGN
2025-05-02 19:30:08.932439,192.168.0.23,10.0.0.77,45205,290,6,7,8680,BENIGN
2025-05-02 19:30:08.982757,192.168.0.10,10.0.0.65,13701,559,17,2,726,BENIGN
2025-05-02 19:30:09.033535,192.168.0.66,10.0.0.98,12392,827,17,4,3624,BENIGN
2025-05-02 19:30:09.084108,192.168.0.68,10.0.0.110,50542,352,1,6,4980,BENIGN
2025-05-02 19:30:09.134397,192.168.0.33,10.0.0.49,50384,365,17,8,3176,BENIGN
2025-05-02 19:30:09.184881,192.168.0.188,10.0.0.143,1548,177,1,6,7254,BENIGN
2025-05-02 19:30:09.235478,192.168.0.187,10.0.0.189,52650,829,17,6,3462,BENIGN
2025-05-02 19:30:09.285642,192.168.0.21,10.0.0.105,5496,109,1,3,3270,BENIGN
2025-05-02 19:30:09.335876,192.168.0.13,10.0.0.13,48603,727,17,1,582,BENIGN
2025-05-02 19:30:09.391095,192.168.0.119,10.0.0.24,2829,201,6,3,4047,BENIGN
2025-05-02 19:30:09.457260,192.168.0.48,10.0.0.213,29083,641,6,10,14840,BENIGN
2025-05-02 19:30:09.509014,192.168.0.48,10.0.0.119,46846,432,1,3,3279,BENIGN
2025-05-02 19:30:09.600825,192.168.0.150,10.0.0.64,32147,305,6,4,3356,BENIGN
2025-05-02 19:30:09.651174,192.168.0.74,10.0.0.1,31035,147,6,10,13390,BENIGN
2025-05-02 19:30:09.718654,192.168.0.172,10.0.0.202,42720,359,1,3,2934,BENIGN
2025-05-02 19:30:09.769945,192.168.0.195,10.0.0.132,41514,143,17,3,4296,BENIGN
2025-05-02 19:30:09.820142,192.168.0.88,10.0.0.32,5930,290,1,8,2216,BENIGN
2025-05-02 19:30:09.879379,192.168.0.170,10.0.0.122,33872,10,17,1,1274,BENIGN
2025-05-02 19:30:09.929537,192.168.0.140,10.0.0.175,15953,818,6,8,7840,DOS
2025-05-02 19:30:09.980837,192.168.0.17,10.0.0.85,35736,393,1,5,4650,BENIGN
2025-05-02 19:30:10.031146,192.168.0.174,10.0.0.176,36021,316,17,7,1834,BENIGN
2025-05-02 19:30:10.081501,192.168.0.245,10.0.0.161,19151,955,1,3,4470,BENIGN
2025-05-02 19:30:10.132260,192.168.0.192,10.0.0.71,55663,573,1,3,1797,BENIGN
2025-05-02 19:30:10.182431,192.168.0.101,10.0.0.66,23724,550,17,1,85,DOS
