Timestamp,src_ip,dst_ip,src_port,dst_port,protocol,flow_packets_s,flow_bytes_s,Label
2025-05-02 23:53:12.098503,192.168.0.165,10.0.0.153,7527,724,6,3,1839,BENIGN
2025-05-02 23:53:12.148906,192.168.0.85,10.0.0.33,50157,880,17,1,985,BENIGN
2025-05-02 23:53:12.199480,192.168.0.219,10.0.0.193,56074,838,6,4,2632,BENIGN
2025-05-02 23:53:12.250163,192.168.0.96,10.0.0.61,40657,836,6,3,3066,BENIGN
2025-05-02 23:53:12.300469,192.168.0.230,10.0.0.143,8188,947,1,1,1339,BENIGN
2025-05-02 23:53:12.350707,192.168.0.200,10.0.0.202,11500,1004,17,5,6460,BENIGN
2025-05-02 23:53:12.401355,192.168.0.54,10.0.0.124,60614,576,1,2,470,BENIGN
2025-05-02 23:53:12.451629,192.168.0.78,10.0.0.215,34547,359,1,4,3900,BENIGN
2025-05-02 23:53:12.502170,192.168.0.130,10.0.0.138,57133,583,6,8,7968,BENIGN
2025-05-02 23:53:12.552897,192.168.0.67,10.0.0.13,64895,976,6,3,249,BENIGN
2025-05-02 23:53:12.603380,192.168.0.214,10.0.0.13,61378,254,17,6,6030,BENIGN
2025-05-02 23:53:12.653697,192.168.0.221,10.0.0.167,21751,475,17,7,2408,BENIGN
2025-05-02 23:53:12.704061,192.168.0.202,10.0.0.33,30020,353,6,1,344,BENIGN
2025-05-02 23:53:12.754968,192.168.0.46,10.0.0.24,35249,929,1,1,128,BENIGN
2025-05-02 23:53:12.805236,192.168.0.218,10.0.0.242,60397,864,17,10,7690,BENIGN
2025-05-02 23:53:12.866671,192.168.0.79,10.0.0.200,38155,812,17,3,744,BENIGN
2025-05-02 23:53:12.926370,192.168.0.186,10.0.0.15,5045,267,1,6,3450,BENIGN
2025-05-02 23:53:12.977337,192.168.0.61,10.0.0.66,23031,429,6,4,2344,BENIGN
2025-05-02 23:53:13.027870,192.168.0.146,10.0.0.147,8750,154,6,1,107,BENIGN
2025-05-02 23:53:13.078467,192.168.0.213,10.0.0.213,48967,470,17,2,906,BENIGN
2025-05-02 23:53:13.135668,192.168.0.203,10.0.0.99,52624,88,1,2,1512,BENIGN
2025-05-02 23:53:13.186323,192.168.0.190,10.0.0.36,45458,207,1,3,816,BENIGN
2025-05-02 23:53:13.236658,192.168.0.81,10.0.0.20,53574,131,17,6,7968,BENIGN
2025-05-02 23:53:13.287060,192.168.0.84,10.0.0.225,48321,38,1,9,6156,BENIGN
2025-05-02 23:53:13.337362,192.168.0.73,10.0.0.223,40091,260,1,7,10409,BENIGN
2025-05-02 23:53:13.387615,192.168.0.110,10.0.0.185,1327,852,6,3,3174,BENIGN
2025-05-02 23:53:13.437969,192.168.0.230,10.0.0.31,44202,368,17,4,4148,BENIGN
2025-05-02 23:53:13.488309,192.168.0.89,10.0.0.121,2271,459,1,9,11520,BENIGN
2025-05-02 23:53:13.538626,192.168.0.13,10.0.0.59,57802,832,17,10,12640,BENIGN
2025-05-02 23:53:13.588833,192.168.0.62,10.0.0.121,22562,832,1,9,7083,BENIGN
2025-05-02 23:53:13.639378,192.168.0.202,10.0.0.208,38767,467,1,3,4083,BENIGN
2025-05-02 23:53:13.689596,192.168.0.175,10.0.0.176,34021,986,1,5,7100,BENIGN
2025-05-02 23:53:13.740099,192.168.0.44,10.0.0.178,61670,405,6,3,3033,BENIGN
2025-05-02 23:53:13.790672,192.168.0.14,10.0.0.165,40530,674,1,9,9864,BENIGN
2025-05-02 23:53:13.840824,192.168.0.144,10.0.0.20,2501,874,6,4,4896,BENIGN
2025-05-02 23:53:13.891328,192.168.0.14,10.0.0.55,25584,160,1,3,1728,BENIGN
2025-05-02 23:53:13.941498,192.168.0.109,10.0.0.12,63526,585,1,10,8980,BENIGN
2025-05-02 23:53:13.992058,192.168.0.85,10.0.0.123,62269,669,1,10,7710,BENIGN
2025-05-02 23:53:14.042833,192.168.0.16,10.0.0.209,19523,939,6,8,9432,BENIGN
2025-05-02 23:53:14.093135,192.168.0.90,10.0.0.91,58076,243,17,2,2194,BENIGN
2025-05-02 23:53:14.159399,192.168.0.227,10.0.0.172,23219,906,1,3,945,BENIGN
2025-05-02 23:53:14.259756,192.168.0.196,10.0.0.251,30512,698,1,2,1118,BENIGN
2025-05-02 23:53:14.310374,192.168.0.151,10.0.0.173,36870,923,6,5,6090,BENIGN
2025-05-02 23:53:14.360953,192.168.0.98,10.0.0.13,31485,98,6,7,9849,BENIGN
2025-05-02 23:53:14.411363,192.168.0.157,10.0.0.247,20327,887,1,10,6670,BENIGN
2025-05-02 23:53:14.461712,192.168.0.135,10.0.0.9,45868,1017,17,1,485,BENIGN
2025-05-02 23:53:14.512127,192.168.0.19,10.0.0.41,21779,792,1,8,9656,BENIGN
2025-05-02 23:53:14.563679,192.168.0.136,10.0.0.93,54746,8,6,9,3771,BENIGN
