Timestamp,src_ip,dst_ip,src_port,dst_port,protocol,flow_packets_s,flow_bytes_s,Label
2025-05-02 18:55:52.379888,192.168.0.1,10.0.0.33,28001,261,6,6,6258,BENIGN
2025-05-02 18:55:52.430971,192.168.0.250,10.0.0.188,27723,344,6,4,4812,BENIGN
2025-05-02 18:55:52.481394,192.168.0.9,10.0.0.200,47532,32,17,7,9436,BENIGN
2025-05-02 18:55:52.532062,192.168.0.109,10.0.0.31,9148,640,1,2,1566,BENIGN
2025-05-02 18:55:52.588159,192.168.0.155,10.0.0.117,33845,203,17,1,1152,BENIGN
2025-05-02 18:55:52.639001,192.168.0.4,10.0.0.214,14193,59,6,1,368,DOS
2025-05-02 18:55:52.689638,192.168.0.109,10.0.0.237,36231,72,17,10,15000,BENIGN
2025-05-02 18:55:52.740551,192.168.0.43,10.0.0.2,32901,462,6,5,2285,BENIGN
2025-05-02 18:55:52.790890,192.168.0.11,10.0.0.120,56375,888,6,5,6285,BENIGN
2025-05-02 18:55:52.841200,192.168.0.231,10.0.0.33,47547,446,1,2,2204,BENIGN
2025-05-02 18:55:52.891628,192.168.0.140,10.0.0.9,59296,77,17,9,7056,BENIGN
2025-05-02 18:55:52.942429,192.168.0.80,10.0.0.238,6803,336,1,10,3370,BENIGN
2025-05-02 18:55:52.992945,192.168.0.97,10.0.0.5,61982,941,1,6,5820,BENIGN
2025-05-02 18:55:53.043528,192.168.0.122,10.0.0.112,54188,86,17,4,4536,BENIGN
2025-05-02 18:55:53.093867,192.168.0.159,10.0.0.156,40625,457,17,10,8470,BENIGN
2025-05-02 18:55:53.144247,192.168.0.14,10.0.0.127,11805,238,17,3,420,BENIGN
2025-05-02 18:55:53.194588,192.168.0.219,10.0.0.151,38700,152,6,10,11600,BENIGN
2025-05-02 18:55:53.245278,192.168.0.208,10.0.0.46,52044,315,6,8,9728,DDoS
2025-05-02 18:55:53.295653,192.168.0.50,10.0.0.210,7886,573,1,7,6132,BENIGN
2025-05-02 18:55:53.346130,192.168.0.86,10.0.0.235,25297,917,1,1,163,BENIGN
2025-05-02 18:55:53.418988,192.168.0.193,10.0.0.66,40309,949,17,3,2232,BENIGN
