Timestamp,src_ip,dst_ip,src_port,dst_port,protocol,flow_packets_s,flow_bytes_s,Label
2025-05-02 18:09:37.212165,192.168.0.54,10.0.0.219,17394,622,1,5,4300,BENIGN
2025-05-02 18:09:37.262797,192.168.0.192,10.0.0.135,6898,820,17,1,272,BENIGN
2025-05-02 18:09:37.313421,192.168.0.184,10.0.0.121,37065,389,17,7,10262,BENIGN
2025-05-02 18:09:37.363711,192.168.0.2,10.0.0.207,57758,403,1,7,3822,BENIGN
2025-05-02 18:09:37.414069,192.168.0.216,10.0.0.251,33521,138,6,8,4744,BENIGN
2025-05-02 18:09:37.464826,192.168.0.95,10.0.0.139,37812,156,17,9,12150,BENIGN
2025-05-02 18:09:37.515426,192.168.0.235,10.0.0.52,64814,906,1,7,2366,BENIGN
2025-05-02 18:09:37.565698,192.168.0.111,10.0.0.182,3100,821,17,5,1405,BENIGN
2025-05-02 18:09:37.616149,192.168.0.205,10.0.0.193,9574,35,6,6,4656,BENIGN
2025-05-02 18:09:37.666440,192.168.0.121,10.0.0.86,61643,783,1,8,1592,BENIGN
2025-05-02 18:09:37.716797,192.168.0.87,10.0.0.107,54753,750,1,3,2568,BENIGN
2025-05-02 18:09:37.767418,192.168.0.204,10.0.0.42,48043,397,1,5,6055,BENIGN
2025-05-02 18:09:37.818015,192.168.0.71,10.0.0.15,27382,572,17,8,8840,BENIGN
2025-05-02 18:09:37.868262,192.168.0.24,10.0.0.68,53869,747,17,9,8820,BENIGN
2025-05-02 18:09:37.918584,192.168.0.218,10.0.0.254,25496,55,6,8,2304,BENIGN
2025-05-02 18:09:37.969142,192.168.0.52,10.0.0.220,1194,650,1,3,1695,BENIGN
2025-05-02 18:09:38.019621,192.168.0.79,10.0.0.65,51593,205,6,7,3283,BENIGN
2025-05-02 18:09:38.070316,192.168.0.198,10.0.0.160,13320,606,17,1,327,BENIGN
2025-05-02 18:09:38.120779,192.168.0.41,10.0.0.45,15845,377,6,2,736,BENIGN
2025-05-02 18:09:38.175329,192.168.0.130,10.0.0.178,35860,356,17,1,83,BENIGN
2025-05-02 18:09:38.297394,192.168.0.7,10.0.0.32,54487,324,17,1,71,BENIGN
2025-05-02 18:09:38.348837,192.168.0.39,10.0.0.151,16525,1006,17,10,7690,BENIGN
2025-05-02 18:09:38.400005,192.168.0.75,10.0.0.190,10401,271,6,10,5040,BENIGN
2025-05-02 18:09:38.450831,192.168.0.197,10.0.0.69,19169,1011,17,2,2180,BENIGN
2025-05-02 18:09:38.506133,192.168.0.73,10.0.0.245,39436,920,17,2,2118,BENIGN
2025-05-02 18:09:38.562561,192.168.0.90,10.0.0.15,59013,503,17,3,240,BENIGN
2025-05-02 18:09:38.616048,192.168.0.26,10.0.0.240,6964,116,6,4,1864,BENIGN
2025-05-02 18:09:38.667767,192.168.0.171,10.0.0.174,55713,212,17,3,3636,BENIGN
2025-05-02 18:09:38.724661,192.168.0.111,10.0.0.209,41886,164,6,2,2592,BENIGN
2025-05-02 18:09:38.775274,192.168.0.142,10.0.0.62,42418,429,1,6,1944,BENIGN
2025-05-02 18:09:38.826630,192.168.0.134,10.0.0.192,2009,182,1,1,367,BENIGN
2025-05-02 18:09:38.901048,192.168.0.171,10.0.0.34,50611,188,6,5,3925,BENIGN
2025-05-02 18:09:38.959089,192.168.0.54,10.0.0.203,48729,867,17,8,2840,DDoS
2025-05-02 18:09:39.033081,192.168.0.157,10.0.0.53,36440,164,17,6,822,BENIGN
2025-05-02 18:09:39.086685,192.168.0.250,10.0.0.153,46123,621,17,5,7495,BENIGN
2025-05-02 18:09:39.137760,192.168.0.176,10.0.0.2,9230,830,17,8,10736,BENIGN
2025-05-02 18:09:39.188278,192.168.0.94,10.0.0.133,4775,78,6,6,4686,BENIGN
2025-05-02 18:09:39.238718,192.168.0.252,10.0.0.16,29537,286,1,5,1500,BENIGN
2025-05-02 18:09:39.290867,192.168.0.215,10.0.0.134,64968,845,1,6,4236,BENIGN
2025-05-02 18:09:39.367941,192.168.0.132,10.0.0.188,10058,421,17,3,3072,BENIGN
2025-05-02 18:09:39.429717,192.168.0.200,10.0.0.217,63189,483,1,10,14840,BENIGN
2025-05-02 18:09:39.521855,192.168.0.188,10.0.0.103,5401,684,17,1,332,BENIGN
2025-05-02 18:09:39.576230,192.168.0.214,10.0.0.182,20053,6,17,8,824,BENIGN
2025-05-02 18:09:39.627580,192.168.0.168,10.0.0.79,13346,979,1,10,12490,BENIGN
2025-05-02 18:09:39.679733,192.168.0.53,10.0.0.152,39378,324,6,2,1654,BENIGN
2025-05-02 18:09:39.731015,192.168.0.78,10.0.0.146,57735,552,17,1,1016,BENIGN
2025-05-02 18:09:39.786376,192.168.0.6,10.0.0.219,55757,330,17,3,2538,BENIGN
2025-05-02 18:09:39.836940,192.168.0.171,10.0.0.93,5835,771,1,1,830,BENIGN
2025-05-02 18:09:39.888956,192.168.0.44,10.0.0.81,20381,1015,17,2,2872,BENIGN
2025-05-02 18:09:39.946790,192.168.0.178,10.0.0.101,21267,868,1,2,718,BENIGN
2025-05-02 18:09:40.003442,192.168.0.126,10.0.0.201,8269,526,17,6,5724,BENIGN
2025-05-02 18:09:40.055200,192.168.0.110,10.0.0.214,18290,376,1,4,1604,BENIGN
2025-05-02 18:09:40.105400,192.168.0.107,10.0.0.221,40147,825,6,4,5388,DDoS
2025-05-02 18:09:40.156192,192.168.0.30,10.0.0.129,32574,947,1,7,10122,BENIGN
2025-05-02 18:09:40.207708,192.168.0.105,10.0.0.85,3912,1003,1,10,13240,BENIGN
2025-05-02 18:09:40.258467,192.168.0.133,10.0.0.111,3127,733,6,1,1273,BENIGN
2025-05-02 18:09:40.309267,192.168.0.249,10.0.0.108,3970,969,17,10,3840,BENIGN
2025-05-02 18:09:40.359568,192.168.0.122,10.0.0.238,23888,301,17,2,1362,BENIGN
2025-05-02 18:09:40.409972,192.168.0.21,10.0.0.161,9159,567,1,5,375,BENIGN
2025-05-02 18:09:40.460524,192.168.0.29,10.0.0.74,16276,905,17,6,7968,BENIGN
2025-05-02 18:09:40.515421,192.168.0.117,10.0.0.195,6283,446,1,4,4120,BENIGN
2025-05-02 18:09:40.565904,192.168.0.78,10.0.0.90,1926,391,1,10,4500,DOS
2025-05-02 18:09:40.620038,192.168.0.89,10.0.0.250,41417,133,1,2,198,BENIGN
2025-05-02 18:09:40.681907,192.168.0.46,10.0.0.244,56459,606,6,8,680,BENIGN
2025-05-02 18:09:40.732520,192.168.0.5,10.0.0.91,23584,558,6,8,7120,BENIGN
2025-05-02 18:09:40.796211,192.168.0.185,10.0.0.128,38065,1004,1,10,2100,BENIGN
2025-05-02 18:09:40.847106,192.168.0.162,10.0.0.20,47124,637,1,5,6740,BENIGN
2025-05-02 18:09:40.898747,192.168.0.69,10.0.0.54,35265,135,17,9,12267,BENIGN
2025-05-02 18:09:40.958475,192.168.0.182,10.0.0.217,26962,767,1,3,3579,BENIGN
2025-05-02 18:09:41.011562,192.168.0.245,10.0.0.231,37368,403,17,4,4908,BENIGN
2025-05-02 18:09:41.062434,192.168.0.117,10.0.0.207,43018,990,1,1,698,BENIGN
2025-05-02 18:09:41.115125,192.168.0.134,10.0.0.146,5215,418,6,1,1421,BENIGN
2025-05-02 18:09:41.186018,192.168.0.76,10.0.0.212,17291,851,17,10,8380,BENIGN
2025-05-02 18:09:41.237330,192.168.0.233,10.0.0.243,6475,382,17,3,3216,BENIGN
2025-05-02 18:09:41.288229,192.168.0.121,10.0.0.223,12060,447,1,9,8298,BENIGN
2025-05-02 18:09:41.345088,192.168.0.189,10.0.0.78,45030,931,6,3,888,BENIGN
2025-05-02 18:09:41.427405,192.168.0.199,10.0.0.51,5365,167,1,10,6100,BENIGN
2025-05-02 18:09:41.487269,192.168.0.72,10.0.0.223,26062,789,17,1,1346,BENIGN
2025-05-02 18:09:41.538621,192.168.0.153,10.0.0.185,35894,807,6,4,444,BENIGN
2025-05-02 18:09:41.589968,192.168.0.179,10.0.0.54,17149,786,1,10,790,BENIGN
2025-05-02 18:09:41.647758,192.168.0.119,10.0.0.199,53740,294,6,3,1716,BENIGN
2025-05-02 18:09:41.697980,192.168.0.7,10.0.0.251,19863,124,6,2,2648,BENIGN
2025-05-02 18:09:41.749378,192.168.0.47,10.0.0.37,3290,258,6,7,8925,BENIGN
2025-05-02 18:09:41.833635,192.168.0.175,10.0.0.126,17289,522,6,8,848,BENIGN
2025-05-02 18:09:41.884163,192.168.0.188,10.0.0.242,20976,775,1,8,9736,BENIGN
2025-05-02 18:09:41.934818,192.168.0.114,10.0.0.199,13079,998,6,4,2072,BENIGN
2025-05-02 18:09:41.985911,192.168.0.233,10.0.0.106,49696,396,1,3,1119,BENIGN
2025-05-02 18:09:42.037360,192.168.0.79,10.0.0.206,30595,415,17,10,5640,BENIGN
2025-05-02 18:09:42.093302,192.168.0.124,10.0.0.23,26491,747,6,4,1952,BENIGN
2025-05-02 18:09:42.144135,192.168.0.15,10.0.0.215,24067,713,6,7,4816,BENIGN
2025-05-02 18:09:42.205595,192.168.0.202,10.0.0.253,54780,674,17,3,243,BENIGN
2025-05-02 18:09:42.256334,192.168.0.41,10.0.0.83,29314,25,6,1,884,BENIGN
2025-05-02 18:09:42.323070,192.168.0.86,10.0.0.29,20144,552,17,5,5425,BENIGN
2025-05-02 18:09:42.392819,192.168.0.158,10.0.0.104,55858,257,1,2,882,BENIGN
2025-05-02 18:09:42.448744,192.168.0.227,10.0.0.237,58573,959,17,3,3072,BENIGN
2025-05-02 18:09:42.514830,192.168.0.8,10.0.0.112,32966,325,6,5,7355,BENIGN
2025-05-02 18:09:42.565677,192.168.0.177,10.0.0.183,63005,863,17,9,7749,BENIGN
2025-05-02 18:09:42.616117,192.168.0.237,10.0.0.173,48921,749,17,10,12160,BENIGN
2025-05-02 18:09:42.666790,192.168.0.127,10.0.0.150,53164,691,1,8,9536,BENIGN
2025-05-02 18:09:42.717164,192.168.0.235,10.0.0.34,17987,436,1,1,419,BENIGN
2025-05-02 18:09:42.773440,192.168.0.49,10.0.0.250,17685,253,1,4,3436,BENIGN
2025-05-02 18:09:42.823921,192.168.0.226,10.0.0.10,50257,845,17,8,11344,BENIGN
2025-05-02 18:09:42.874292,192.168.0.166,10.0.0.34,53590,401,1,4,5352,BENIGN
2025-05-02 18:09:42.924798,192.168.0.142,10.0.0.60,5748,726,6,8,4224,BENIGN
2025-05-02 18:09:42.975103,192.168.0.250,10.0.0.186,37901,102,17,8,11440,BENIGN
2025-05-02 18:09:43.025733,192.168.0.225,10.0.0.85,39493,611,17,6,4374,BENIGN
2025-05-02 18:09:43.076466,192.168.0.124,10.0.0.69,3500,112,17,5,5770,BENIGN
2025-05-02 18:09:43.132954,192.168.0.195,10.0.0.202,63755,404,17,3,3090,BENIGN
2025-05-02 18:09:43.184294,192.168.0.182,10.0.0.108,48444,175,17,10,4990,BENIGN
2025-05-02 18:09:43.236219,192.168.0.67,10.0.0.1,12228,152,1,3,1449,BENIGN
2025-05-02 18:09:43.286792,192.168.0.210,10.0.0.146,30009,60,1,9,3465,BENIGN
2025-05-02 18:09:43.337243,192.168.0.84,10.0.0.161,29797,778,6,10,12620,BENIGN
2025-05-02 18:09:43.407682,192.168.0.227,10.0.0.52,45578,232,1,9,10746,DOS
2025-05-02 18:09:43.458015,192.168.0.216,10.0.0.135,57241,329,6,7,2422,DOS
2025-05-02 18:09:43.520375,192.168.0.23,10.0.0.183,46091,507,1,4,1148,BENIGN
2025-05-02 18:09:43.570910,192.168.0.85,10.0.0.241,51309,902,1,10,2720,BENIGN
2025-05-02 18:09:43.626409,192.168.0.176,10.0.0.97,50617,731,6,4,5368,BENIGN
2025-05-02 18:09:43.690112,192.168.0.205,10.0.0.151,49108,694,17,3,2301,BENIGN
2025-05-02 18:09:43.740345,192.168.0.5,10.0.0.47,35209,695,17,1,1199,BENIGN
