Timestamp,src_ip,dst_ip,src_port,dst_port,protocol,flow_packets_s,flow_bytes_s,Label
2025-05-02 19:05:08.025511,192.168.0.67,10.0.0.40,52121,299,6,5,1990,BENIGN
2025-05-02 19:05:08.077576,192.168.0.108,10.0.0.82,61419,450,6,1,164,BENIGN
2025-05-02 19:05:08.127864,192.168.0.6,10.0.0.250,60172,273,17,10,10250,BENIGN
2025-05-02 19:05:08.178398,192.168.0.109,10.0.0.212,52429,463,6,8,11288,BENIGN
2025-05-02 19:05:08.229020,192.168.0.245,10.0.0.58,11436,585,6,3,2712,BENIGN
2025-05-02 19:05:08.280502,192.168.0.120,10.0.0.193,60604,487,17,5,1825,BENIGN
2025-05-02 19:05:08.331046,192.168.0.85,10.0.0.241,39700,756,1,1,213,BENIGN
2025-05-02 19:05:08.381319,192.168.0.151,10.0.0.15,12744,166,17,1,1282,BENIGN
2025-05-02 19:05:08.431666,192.168.0.249,10.0.0.250,32811,483,6,3,255,BENIGN
2025-05-02 19:05:08.482203,192.168.0.173,10.0.0.96,38055,345,6,6,8388,BENIGN
2025-05-02 19:05:08.532592,192.168.0.40,10.0.0.219,3606,988,1,8,5224,DOS
2025-05-02 19:05:08.582846,192.168.0.118,10.0.0.253,53745,956,1,8,8872,BENIGN
2025-05-02 19:05:08.633769,192.168.0.130,10.0.0.81,9928,889,6,10,11310,BENIGN
2025-05-02 19:05:08.684419,192.168.0.26,10.0.0.62,38257,725,6,1,1374,BENIGN
2025-05-02 19:05:08.734694,192.168.0.184,10.0.0.75,29424,1024,1,1,979,PORT_SCAN
2025-05-02 19:05:08.785011,192.168.0.151,10.0.0.181,19941,708,1,2,2400,BENIGN
2025-05-02 19:05:08.835968,192.168.0.167,10.0.0.205,11139,630,17,5,5380,BENIGN
2025-05-02 19:05:08.911763,192.168.0.226,10.0.0.119,17880,16,6,6,5796,BENIGN
2025-05-02 19:05:08.977950,192.168.0.119,10.0.0.192,34944,870,1,5,4455,BENIGN
2025-05-02 19:05:09.034857,192.168.0.26,10.0.0.157,27273,813,17,2,1218,BENIGN
2025-05-02 19:05:09.140039,192.168.0.15,10.0.0.110,27464,190,17,1,1061,BENIGN
2025-05-02 19:05:09.190330,192.168.0.89,10.0.0.71,52003,110,6,10,13660,BENIGN
2025-05-02 19:05:09.240742,192.168.0.161,10.0.0.176,65051,628,1,8,8432,BENIGN
2025-05-02 19:05:09.291189,192.168.0.136,10.0.0.137,22216,541,1,4,5248,BENIGN
2025-05-02 19:05:09.341422,192.168.0.137,10.0.0.176,43758,900,6,6,3804,BENIGN
2025-05-02 19:05:09.392058,192.168.0.215,10.0.0.91,7062,546,1,8,5024,BENIGN
2025-05-02 19:05:09.442509,192.168.0.213,10.0.0.178,9369,205,6,3,852,BENIGN
2025-05-02 19:05:09.492908,192.168.0.1,10.0.0.228,8507,720,17,5,2235,DOS
2025-05-02 19:05:09.543286,192.168.0.13,10.0.0.250,41710,352,1,9,5373,BENIGN
2025-05-02 19:05:09.610625,192.168.0.253,10.0.0.171,34022,899,6,4,3280,BENIGN
2025-05-02 19:05:09.675440,192.168.0.124,10.0.0.1,34167,483,6,2,2586,DOS
2025-05-02 19:05:09.739266,192.168.0.39,10.0.0.229,17492,195,17,8,8608,BENIGN
2025-05-02 19:05:09.803566,192.168.0.125,10.0.0.201,3543,953,17,5,5885,BENIGN
2025-05-02 19:05:09.861586,192.168.0.37,10.0.0.232,9441,113,6,10,5650,BENIGN
2025-05-02 19:05:09.912296,192.168.0.203,10.0.0.29,12874,753,17,6,5550,BENIGN
2025-05-02 19:05:09.962635,192.168.0.228,10.0.0.122,38214,470,17,2,2992,BENIGN
2025-05-02 19:05:10.013556,192.168.0.203,10.0.0.90,2047,862,17,4,4024,BENIGN
2025-05-02 19:05:10.063887,192.168.0.157,10.0.0.106,50295,400,6,8,4320,BENIGN
2025-05-02 19:05:10.114427,192.168.0.225,10.0.0.112,3126,490,1,1,1322,BENIGN
2025-05-02 19:05:10.165047,192.168.0.235,10.0.0.130,19089,443,6,4,1140,BENIGN
2025-05-02 19:05:10.225074,192.168.0.45,10.0.0.96,57086,248,17,1,863,BENIGN
2025-05-02 19:05:10.285517,192.168.0.85,10.0.0.201,30881,969,1,10,11390,BENIGN
2025-05-02 19:05:10.348745,192.168.0.165,10.0.0.191,65066,797,1,6,8004,BENIGN
2025-05-02 19:05:10.423840,192.168.0.240,10.0.0.242,9617,655,6,8,11992,BENIGN
2025-05-02 19:05:10.486203,192.168.0.78,10.0.0.51,5407,609,6,4,2400,BENIGN
2025-05-02 19:05:10.538751,192.168.0.204,10.0.0.215,16292,12,1,7,9667,DOS
2025-05-02 19:05:10.592856,192.168.0.150,10.0.0.240,17697,414,17,4,2260,BENIGN
2025-05-02 19:05:10.644147,192.168.0.119,10.0.0.101,38857,267,6,9,2412,BENIGN
